Emisor;Receptor;Lugar de emisión;Lugar de recepción;Fecha de redacción
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;1. 1590-2-20
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;2. 1590-6-8
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;3. 1590-12-2
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;4. 1591-2-15
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;5. 1591-5-4
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;6. 1591-11-12
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;7. 1602-11-1
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;8. 1603-11-22
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;9. 1604-5-3
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;10. 1606-1-5
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;11. 1606-5-30
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;12. 1606-11-8
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;13. 1607-1-4
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;13. 1607-1-4
Álvaro de Paredes;Juana de Paredes;1. México;1. Cáceres;14. 1607-1-6
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;15. 1607-5-5
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;16. 1608-1-10
Juan Tejado ;Gutierre Espadero;2. Madrid;1. Cáceres;17. 1608-1-2
Juan Tejado ;Gutierre Espadero;2. Madrid;1. Cáceres;16. 1608-1-10
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;18. 1608-6-20
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;19. 1608-6-23
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;20. 1608-10-28
Juan Tejado ;Gutierre Espadero;3. Sevilla;1. Cáceres;21. 1608-11-2
Juan Tejado ;Gutierre Espadero;2. Madrid;1. Cáceres;22. 1608-12-14
Martín de Jirapu;Gutierre Espadero;3. Sevilla;1. Cáceres;23. 1609-5-9
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;24. 1609-5-22
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;25. 1609-5-23
Martín de Jirapu;Gutierre Espadero;3. Sevilla;1. Cáceres;26. 1609-6-21
Martín de Jirapu;Gutierre Espadero;3. Sevilla;1. Cáceres;27. 1609-7-13
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;28. 1609-10-15
Hernando Mexía;Gutierre Espadero;3. Sevilla;1. Cáceres;29. 1609-12-20
Hernando Mexía;Gutierre Espadero;3. Sevilla;1. Cáceres;30. 1610-3-15
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;31. 1610-3-25
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;32. 1610-10-1
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;33. 1610-12-26
Álvaro de Paredes;Gutierre Espadero;4. Chilapa;1. Cáceres;34. 1611-5-6
Álvaro de Paredes;Gutierre Espadero;4. Chilapa;1. Cáceres;34. 1611-5-6
Cristóbal de Barrionuevo;No conocido;3. Sevilla;99. Desconocido;35. 1611-5-15
Cristóbal de Barrionuevo;No conocido;3. Sevilla;99. Desconocido;36. 1611-7-6
Cristóbal de Barrionuevo;No conocido;3. Sevilla;99. Desconocido;37. 1611-8-1
Álvaro de Paredes;Gutierre Espadero;4. Chilapa;1. Cáceres;38. 1611-11-22
Álvaro de Paredes;Gutierre Espadero;4. Chilapa;1. Cáceres;39. 1612-5-4
Álvaro de Paredes;Gutierre Espadero;1. México;1. Cáceres;40. 1613-10-14
