Emisor;Receptor;Lugar de emisión;Lugar de recepción;Fecha de redacción
Álvaro de Paredes;Gutierre Espadero;1;1;1
Álvaro de Paredes;Gutierre Espadero;1;1;2
Álvaro de Paredes;Gutierre Espadero;1;1;3
Álvaro de Paredes;Gutierre Espadero;1;1;4
Álvaro de Paredes;Gutierre Espadero;1;1;5
Álvaro de Paredes;Gutierre Espadero;1;1;6
Álvaro de Paredes;Gutierre Espadero;1;1;7
Álvaro de Paredes;Gutierre Espadero;1;1;8
Álvaro de Paredes;Gutierre Espadero;1;1;9
Álvaro de Paredes;Gutierre Espadero;1;1;10
Álvaro de Paredes;Gutierre Espadero;1;1;11
Álvaro de Paredes;Gutierre Espadero;1;1;12
Álvaro de Paredes;Gutierre Espadero;1;1;13
Álvaro de Paredes;Gutierre Espadero;1;1;13
Álvaro de Paredes;Juana de Paredes;1;1;14
Álvaro de Paredes;Gutierre Espadero;1;1;15
Álvaro de Paredes;Gutierre Espadero;1;1;16
Juan Tejado ;Gutierre Espadero;2;1;17
Juan Tejado ;Gutierre Espadero;2;1;16
Álvaro de Paredes;Gutierre Espadero;1;1;18
Álvaro de Paredes;Gutierre Espadero;1;1;19
Álvaro de Paredes;Gutierre Espadero;1;1;20
Juan Tejado ;Gutierre Espadero;3;1;21
Juan Tejado ;Gutierre Espadero;2;1;22
Martín de Jirapu;Gutierre Espadero;3;1;23
Álvaro de Paredes;Gutierre Espadero;1;1;24
Álvaro de Paredes;Gutierre Espadero;1;1;25
Martín de Jirapu;Gutierre Espadero;3;1;26
Martín de Jirapu;Gutierre Espadero;3;1;27
Álvaro de Paredes;Gutierre Espadero;1;1;28
Hernando Mexía;Gutierre Espadero;3;1;29
Hernando Mexía;Gutierre Espadero;3;1;30
Álvaro de Paredes;Gutierre Espadero;1;1;31
Álvaro de Paredes;Gutierre Espadero;1;1;32
Álvaro de Paredes;Gutierre Espadero;1;1;33
Álvaro de Paredes;Gutierre Espadero;4;1;34
Álvaro de Paredes;Gutierre Espadero;4;1;34
Cristóbal de Barrionuevo;No conocido;3;99;35
Cristóbal de Barrionuevo;No conocido;3;99;36
Cristóbal de Barrionuevo;No conocido;3;99;37
Álvaro de Paredes;Gutierre Espadero;4;1;38
Álvaro de Paredes;Gutierre Espadero;4;1;39
Álvaro de Paredes;Gutierre Espadero;1;1;40
