ID; Label
1; Inquisidor Bonilla
2; Sancho Flores
3; Diego López Bueno
4; de Mendoza
5; Toribio de Castro
6; Juan de Toledo
7; Leonel de Cuadros
8; Mariana de Carvajal
9; Juan Tejado
10; Juan de Luján
11; Francisco de Sande
12; Alonso Barrantes
13; Esteban de Porras
14; Alonso Martínez Espadero
15; Juan Beltrán de Guevara
16; Juan Gómez de la Cámara
17; Francisco de Ávila
18; Gutierre Espadero
19; Juan de Frías
20; Fernando de Monroy
21; fray Gerónimo
22; Martín López de Arenchu
23; Antonio de Saavedra
24; Alonso de Berrio
25; Beatriz de Sotomayor
26; Santos García
27; Fernando de Mexía
28; Cristóbal de Barrionuevo
29; Martín de Jirapu
30; Álvaro de Paredes
